id,bid,created_at,text,is_retweet,reposts_count,comments_count,attitudes_count,user_name,user_followers,source
5117350007281804,P7hlSuyks,2024-12-30 18:33:00,"女子2年遭家暴16次案一审宣判，前夫被判刑11年，受害人小谢称我们要的不是赔偿，是死刑，庭审现场他没有任何悔罪认罪。 <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%232%E5%B9%B4%E8%A2%AB%E5%AE%B6%E6%9A%B416%E6%AC%A1%E6%A1%88%E4%B8%80%E5%AE%A1%E5%AE%A3%E5%88%A4%23&extparam=%232%E5%B9%B4%E8%A2%AB%E5%AE%B6%E6%9A%B416%E6%AC%A1%E6%A1%88%E4%B8%80%E5%AE%A1%E5%AE%A3%E5%88%A4%23"" data-hide=""""><span class=""surl-text"">#2年被家暴16次案一审宣判#</span></a>  <a  href=""https://video.weibo.com/show?fid=1034:5117346327494665"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">别致大视野的微博视频</span></a> ",0,6,4,15,别致大视野,20.2万,微博视频号
5117587300551121,P7nwC2jn3,2024-12-31 10:15:55,"“他还有九年就出来了”，女子说这句话该该有多恐惧和无助！ 2年遭家暴16次小谢一审案件，判决下来，前夫贺某被判11年加37万左右赔偿，2年被打 16次，最后一次打得快噶了，终身挂粪袋，左肾也打坏了。但按目前法律，确实判不了死刑的，但11年确实“不够” 所以明知道这个家暴男是没办法判极刑的，她也 ...<a href=""/status/5117587300551121"">全文</a>",0,16,27,134,黑哥爆料,149.6万,微博视频号
5117434377802633,P7jxXwJOV,2024-12-31 00:08:15,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%B0%8F%E8%B0%A2%E4%B8%80%E5%AE%A1%23&extparam=%23%E5%B0%8F%E8%B0%A2%E4%B8%80%E5%AE%A1%23"" data-hide=""""><span class=""surl-text"">#小谢一审#</span></a> 发声是要被夹嘴的，热搜是要压的 ",0,3,15,70,阿辞要吃饭,672,司岚的HarmonyOS设备
5117362229740347,P7hFAERUn,2024-12-30 19:21:34,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%B0%8F%E8%B0%A2%E9%81%AD%E5%8F%9716%E6%AC%A1%E5%AE%B6%E6%9A%B4%23&extparam=%23%E5%B0%8F%E8%B0%A2%E9%81%AD%E5%8F%9716%E6%AC%A1%E5%AE%B6%E6%9A%B4%23"" data-hide=""""><span class=""surl-text"">#小谢遭受16次家暴#</span></a>  <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%232%E5%B9%B4%E8%A2%AB%E5%AE%B6%E6%9A%B416%E6%AC%A1%E6%A1%88%E4%B8%80%E5%AE%A1%E5%AE%A3%E5%88%A4%23&extparam=%232%E5%B9%B4%E8%A2%AB%E5%AE%B6%E6%9A%B416%E6%AC%A1%E6%A1%88%E4%B8%80%E5%AE%A1%E5%AE%A3%E5%88%A4%23"" data-hide=""""><span class=""surl-text"">#2年被家暴16次案一审宣判#</span></a>    “他第二次打我的时候我就坚决要离婚了，可是他不同意。我到处躲藏，但他每次都能找到我。”  当时已经跟贺某阳提了离婚，但他一直不同意。因为害怕被打，小谢不得不东躲西藏，但还是被他找到。小谢被打后，经过了大约11个小时才被送到医院，当医生 ...<a href=""/status/5117362229740347"">全文</a>",0,58,9,496,蕈菌目前不改名啦,15.2万,被窝
5117387040883381,P7ijC3HO5,2024-12-30 21:00:09,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%232%E5%B9%B4%E8%A2%AB%E5%AE%B6%E6%9A%B416%E6%AC%A1%E5%BD%93%E4%BA%8B%E4%BA%BA%E7%9A%84%E6%BC%AB%E9%95%BF%E4%B9%8B%E8%B7%AF%23&extparam=%232%E5%B9%B4%E8%A2%AB%E5%AE%B6%E6%9A%B416%E6%AC%A1%E5%BD%93%E4%BA%8B%E4%BA%BA%E7%9A%84%E6%BC%AB%E9%95%BF%E4%B9%8B%E8%B7%AF%23"" data-hide=""""><span class=""surl-text"">#2年被家暴16次当事人的漫长之路#</span></a>希望更多的人为女性发声，“改女子两年遭 16 次家暴案”刑事一审定于 12 月 25 日开庭。短短两年婚姻，却成了小谢的噩梦，她被严重家暴达 16 次之多。6 次报警，警察 2 次对贺某出具家暴告诫书，却未能拦住暴行。2023 年 4 月，小谢被打进 ICU 昏迷数日，命悬一线。但 ...<a href=""/status/5117387040883381"">全文</a>",0,7,13,110,Dora-小柒,3.8万,卫韫的小柒iPhone 13
5117259531688047,P7eZX758z,2024-12-30 12:33:29,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%B0%8F%E8%B0%A2%E4%B8%80%E5%AE%A1%23&extparam=%23%E5%B0%8F%E8%B0%A2%E4%B8%80%E5%AE%A1%23"" data-hide=""""><span class=""surl-text"">#小谢一审#</span></a>一审判决出来，小谢的天塌了，2年婚姻，16次被打，30厘米的伤口，终身携带粪袋，而贺某阳就被判了11年，十一年以后就能一笔勾销了吗？  恐怕小谢乃至小谢一家的担忧还不能，视频二小谢哥哥称45岁出来正值当年，甚至小谢一家都会受到威胁！  如果有人说你们跑啊，视频三受害者曾经跑过，又被 ...<a href=""/status/5117259531688047"">全文</a>",0,920,843,15335,历史这些事啊,16.1万,燕燕小可爱Android
5117532573008255,P7m6lcCAf,2024-12-31 06:38:27,"2年遭家暴16次的小谢泪如雨下，哭嚎着：“这哪里算成功？他竟然逃过死刑！我却只剩九年可活。我如今失去一肾，往后余生都要与尿袋相伴，这和被谋杀有何区别？<br />实在让人心疼！哪怕是个局外人，都难以容忍。支持小谢上诉。 <a  href=""https://video.weibo.com/show?fid=1034:5117222729744461"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">四月好甜的微博视频</span></a> ",0,0,4,46,四月好甜,25.7万,微博视频号
5117262824477643,P7f5giMQ3,2024-12-30 12:46:34,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%B0%8F%E8%B0%A2%E4%B8%80%E5%AE%A1%23&extparam=%23%E5%B0%8F%E8%B0%A2%E4%B8%80%E5%AE%A1%23"" data-hide=""""><span class=""surl-text"">#小谢一审#</span></a> 要是小谢把她丈夫打得需要终身戴粪袋，她早就被判死刑了<span class=""url-icon""><img alt=[可爱] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_keai-9aae643ce8.png"" style=""width:1em; height:1em;"" /></span> ",0,51,56,1726,陈陆今天也鸽鸽鸽_,2.7万,🦁🐰iPhone客户端
5117195738942318,P7dl3BwiW,2024-12-30 08:20:00,"周宇律师:两年被家暴16次！刑案一审开庭，不沉默！不无视！ 小谢不仅仅是一位家暴受害者，同时也是一位反家暴者，她用自己充满血泪的真实经历一次又一次地努力发声，希望有更多有着同样遭遇的人能够早日逃脱出痛苦的深渊！反家暴从不是某个受害者的家务事！ <a  href=""https://video.weibo.com/show?fid=1034:5117036104187906"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">育晴烟雨的微博视频</span></a> ",0,8,12,105,育晴烟雨,20.1万,微博视频号
5117302909179720,P7g7UCw40,2024-12-30 15:25:51,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%A5%B3%E5%AD%90%E4%B8%A4%E5%B9%B4%E8%A2%AB%E5%AE%B6%E6%9A%B416%E6%AC%A1%E6%80%95%E5%89%8D%E5%A4%AB%E5%87%BA%E7%8B%B1%E6%8A%A5%E5%A4%8D%23&extparam=%23%E5%A5%B3%E5%AD%90%E4%B8%A4%E5%B9%B4%E8%A2%AB%E5%AE%B6%E6%9A%B416%E6%AC%A1%E6%80%95%E5%89%8D%E5%A4%AB%E5%87%BA%E7%8B%B1%E6%8A%A5%E5%A4%8D%23"" data-hide=""""><span class=""surl-text"">#女子两年被家暴16次怕前夫出狱报复#</span></a> 小谢:坚强了几天，双重打击下，身体最终还是撑不住了，抗诉书这两天也会提交过去，我不能倒下，我倒下了，他们就得逞了。 她在吃药，她在配合，她真的很想活下去，只有好好活着才能为自己说话，才能为自己讨回一个公道。 <a  href=""https://video.weibo.com/show?fid=1034:5117302673178657"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">倾国倾城年世兰的微博视频</span></a> ",0,37,85,1738,倾国倾城年世兰,2.6万,冬天的第一场雪
